Score and Grading,Tilki,Ramnagar,Udayapur,Dashrathbasti,Simari,Khallabichawa,Binbari,Kanj,Kasba,Nand Gau,Balmi,Dunga,Khall Jain,Dekhatbhuli (Deuwa Tole),"Bhanubhakta Tole (Saraswati, Bhumiraj)",Bagphanta (Shuktaraj Tole),Rautela Khola (Bishnu Tole),Khutiya Tole,Nuklipur,Purba Lalitpur,Sano Bikree,Badhupuruwa,Thapuwa,Balapur,Bhartapur,Payal,Baidi,Shreelanka,Dakshinshahipur,Belpur,Girdharpur,Farela,Lamkipuruwa,Naya Likepur Shiber,Tihuni,Chanaura,Sangharshanagar,Tediya,Tigra,Bankatti,Banghushra,Rajipur,Sankatti,Shonaha Gau,Bangalipur,Bhagrahiya,Bhagatpur,Patharbojhi,Sonaha,Dangpur,Dhungrahi,Kumra Gau,Lauthuwa Jogipur,Bhaishakhani,Ghorpitta,Guruwa Gau,Jabdi
Latitude,28.815299,28.736011,28.733555,28.668303,28.666939,28.696053,28.709553,28.729091,28.742809,28.757242,28.750839,28.762218,28.788641,28.841248,28.937671,28.839874,29.002987,28.643845,28.61353,28.582142,28.227893,28.228113,28.176566,28.228113,28.500233,28.437032,28.454515,28.406212,28.467608,28.547969,28.54957,28.54289,28.556301,28.546375,28.493009,28.477451,28.41975,28.439003,28.45094,28.499176,28.53871,28.547136,28.50825,28.51255,28.389807,28.353272,28.359733,28.3744,28.3792,28.386933,28.21036,28.351652,28.332717,28.317743,28.306044,28.287795,28.273911
Longitude,80.374074,80.387101,80.38804,80.473036,80.474528,80.478088,80.444424,80.407821,80.413177,80.404834,80.374917,80.366296,80.373018,80.411581,80.203787,80.410031,80.20382,80.664437,80.688754,80.742748,81.381563,81.37092,81.363441,81.37092,81.045265,81.038959,81.02861,81.057813,81.103213,81.070286,81.057885,81.05724,81.176932,81.139792,81.162267,81.13579,81.08146,81.099602,81.10612,81.169296,81.19048,81.202066,81.17159,81.17036,81.242667,81.221068,81.23673,81.2174,81.2356,81.328622,81.19037,81.316787,81.313242,81.315117,81.318685,81.322657,81.375248
East extent,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
South extent,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
West extent,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
North extent,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Community code,c_56,c_43,c_57,c_18,c_50,c_31,c_15,c_28,c_29,c_36,c_05,c_22,c_30,c_20,c_13,c_02,c_44,c_32,c_38,c_41,c_47,c_01,c_53,c_04,c_14,c_40,c_03,c_49,c_19,c_09,c_25,c_23,c_34,c_37,c_55,c_16,c_45,c_52,c_54,c_08,c_07,c_42,c_46,c_48,c_06,c_11,c_10,c_39,c_51,c_17,c_21,c_33,c_35,c_12,c_24,c_26,c_27
T0 Flood,49,45,51,42,43,48,44,51,47,48,44,42,44,35,41,43,41,48,46,48,37,35,44,42,36,34,61,38,41,34,54,55,38,36,51,44,60,50,60,46,61,54,57,59,61,44,45,57,60,44,38,41,43,42,41,43,42
T0 Heat,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,42,38,45,42,43,35,29,43,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0 Generic,48,46,52,42,43,50,42,48,48,44,44,46,43,38,46,44,39,48,48,50,42,33,48,44,39,30,57,38,47,36,52,53,39,39,52,44,60,52,58,47,56,56,55,56,60,47,47,57,58,47,42,46,47,44,47,47,43
